Date/Time Reported,	Case Number,	Incident Type,	Location,	Disposition,
4/5/25	2025-01580	Retail Theft	3330 Market St	
4/4/25	2025-01579	Auto Theft	4000 Spruce St	Active
4/4/25	2025-01578	Aggravated Assault	3400 Ludlow St	
4/4/25	2025-01577	Retail Theft	3330 Market St	Active
4/4/25	2025-01576	Theft From Building	3141 Chestnut St	Active
4/4/25	2025-01575	Retail Theft	3330 Market St	Active
4/6/25	2025-01569	Assault	3744 Spruce St	Active
4/6/25	2025-01566	Assault	3600 Spruce St	Active
4/4/25	2025-01537	Vandalism	3901 Locust Walk	Active
4/4/25	2025-01525	Bike Theft	3333 Walnut St	Active
4/4/25	2025-01521	Theft From Building	210 S 34th St	Active
4/3/25	2025-01517	Retail Theft	3330 Market St	Active
4/3/25	2025-01516	Theft From Vehicle	51 N 39th St	Active
4/4/25	2025-01509	Vandalism	South St	Active
4/4/25	2025-01508	Theft From Building	3935 Walnut St	Active
4/3/25	2025-01502	Fraud	4247 Locust St	Active
4/3/25	2025-01497	Theft Other	3900 Locust Walk	Active
4/2/25	2025-01493	Retail Theft	3330 Market St	Active
4/2/25	2025-01492	Retail Theft	3330 Market St	Active
4/2/25	2025-01487	Dui	3900 Locust Walk	
4/2/25	2025-01486	Aggravated Assault	3935 Walnut St	Active
4/2/25	2025-01484	Vandalism	3744 Spruce St	Active
4/2/25	2025-01483	Theft Other	1 Convention Ave	Active
4/2/25	2025-01482	Theft From Building	3600 Sansom St	Active
4/1/25	2025-01474	Auto Theft	3600 Civic Center Blvd	Active
4/1/25	2025-01473	Retail Theft	3330 Market St	Active
4/1/25	2025-01467	Robbery-gun	3565 Sansom St	Active
4/1/25	2025-01465	Theft From Vehicle	3900 Locust Walk	
4/1/25	2025-01464	Auto Theft	210 S 34th St	Active
4/1/25	2025-01463	Theft From Building	3820 Locust Walk	Active
4/1/25	2025-01461	Auto Theft	380 University Ave	Active
3/31/25	2025-01452	Bike Theft	51 N 39th St	Active
3/31/25	2025-01444	Robbery-gun	4000 Market St	Active
3/31/25	2025-01443	Auto Theft	3600 Spruce St	Active
3/31/25	2025-01442	Theft Other	3816 Chestnut St	Active
3/30/25	2025-01440	Retail Theft	3330 Market St	Active
3/29/25	2025-01439	Theft From Building	2930 Chestnut St	Active
3/29/25	2025-01438	Retail Theft	3330 Market St	Active
3/29/25	2025-01437	Retail Theft	4233 Chestnut St	Active
3/28/25	2025-01436	Retail Theft	3330 Market St	Active
3/28/25	2025-01435	Retail Theft	4233 Chestnut St	Active
3/30/25	2025-01433	Sex Offense	3900 Walnut St	Active
3/30/25	2025-01429	Assault	4100 Pine St	
3/30/25	2025-01420	Theft Other	3730 Walnut St	Active
3/30/25	2025-01419	Theft From Building	3900 Chestnut St	Active
3/30/25	2025-01418	Weapons	200 S 40th St	
3/29/25	2025-01407	Auto Theft	4200 Spruce St	Active
3/29/25	2025-01404	Theft From Building	51 N 39th St	Active
3/28/25	2025-01393	Theft From Building	3400 Spruce St	Active
3/28/25	2025-01392	Theft From Building	3231 Walnut St	Active
3/28/25	2025-01391	Theft From Building	3941 Irving St	Active
3/28/25	2025-01387	Theft From Building	3400 Spruce St	Active
3/27/25	2025-01385	Retail Theft	4233 Chestnut St	Active
3/28/25	2025-01384	Theft From Building	51 N 39th St	Active
3/27/25	2025-01376	Theft From Building	415 Curie Blvd	Active
3/27/25	2025-01372	Auto Theft	119 S 31st St	Active
3/27/25	2025-01370	Theft From Building	4258 Chestnut St	Active
3/26/25	2025-01366	Assault	3500 Market St	Active
3/25/25	2025-01351	Retail Theft	3330 Market St	Active
3/25/25	2025-01350	Retail Theft	3330 Market St	Active
3/26/25	2025-01349	Auto Theft	200 S 41st St	Active
3/24/25	2025-01334	Auto Theft	418 Curie Blvd	Active
3/23/25	2025-01330	Theft From Building	51 N 39th St	Active
3/21/25	2025-01329	Assault	3549 Chestnut St	Active
3/21/25	2025-01328	Retail Theft	4233 Chestnut St	Active
3/21/25	2025-01327	Retail Theft	3330 Market St	Active
3/24/25	2025-01325	Auto Theft	3901 Locust Walk	Active
3/23/25	2025-01321	Retail Theft	4001 Walnut St	Active
3/23/25	2025-01319	Theft From Building	3925 Walnut St	Active
3/23/25	2025-01316	Liquor Law	4040-4042 Walnut St	
3/23/25	2025-01315	Disorderly Conduct	4040-4042 Walnut St	
3/23/25	2025-01312	Vandalism	3901 Locust Walk	Active
3/21/25	2025-01285	Assault	3900 Spruce St	Active
3/20/25	2025-01272	Retail Theft	4233 Chestnut St	
3/20/25	2025-01271	Retail Theft	3330 Market St	Active
3/20/25	2025-01264	Theft From Vehicle	129 S 30th St	Active
3/20/25	2025-01263	Retail Theft	3744 Spruce St	Active
3/20/25	2025-01262	Theft From Building	220 S 33rd St	Active
3/19/25	2025-01256	Retail Theft	3330 Market St	Active
3/19/25	2025-01255	Retail Theft	3330 Market St	Active
3/19/25	2025-01251	Fraud	4247 Locust St	Active
3/19/25	2025-01248	Theft From Vehicle	3200 Walnut St	Active
3/19/25	2025-01247	Theft From Vehicle	3100 Chestnut St	Active
3/19/25	2025-01244	Theft From Building	309-311 S 40th St	Active
3/19/25	2025-01243	Aggravated Assault-gun	3400 Spruce St	Active
3/18/25	2025-01240	Theft From Building	4201 Walnut St	Active
3/18/25	2025-01239	Assault	4200 Market St	Active
3/18/25	2025-01233	Theft From Vehicle	4200 Chestnut St	Active
3/18/25	2025-01227	Retail Theft	3744 Spruce St	Active
