Report Number,Incident Type,Date/Time Reported,Date/Time Occurred,Date/Time Occured To,Location,Disposition,Disposition Change,Status,Date Entered
R250124030,Theft of Property 2nd Degree,1/24/25 11:28,1/23/25 19:05,1/24/25 6:00,600 Block of Bryce Lawn Dr. ,Closed,1/30/25,Administratively Cleared,27-Jan-25
R250124015,Disorderly Conduct,1/24/25 3:54,1/24/25 2:33,1/24/25 3:56,600 Block of Abercrombie Lane ,Closed,,Cleared Adult Prosecution Declined,24-Jan-25
R250124011,Criminal Tampering 2nd Degree & Criminal Trespassing 3rd Degree,1/24/25 2:27,1/24/25 1:30,1/24/25 1:40,600 Block of Abercrombie Lane ,Closed,,Administratively Cleared,24-Jan-25
R250124002,Criminal Mischief 3rd Degree,1/24/25 0:24,1/24/25 0:24,1/24/25 0:58,800 Block of Campus Drive ,Closed,,Cleared Adult Other Prosecution,24-Jan-25
R250123034,DV Harassing Communications,1/23/25 10:41,1/14/25 0:00,1/15/24 13:30,1100 Block of Jackson Ave. ,Pending,1/31/25,Inactive,24-Jan-25
R250121039,Unlawful Possession or Receipt of a Controlled Substance,1/21/25 18:04,1/21/25 18:04,1/21/25 18:04,500 Block of Frank Thomas Ave. ,Closed,,Transferred,22-Jan-25
R250121036,Criminal Trespass 2nd Degree,1/21/25 17:53,1/21/25 15:00,1/21/25 16:00,100 Block of McCorvey Drive ,Closed,1/22/25,Cleared by Adult Arrest,22-Jan-25
R250121030,DV Harassment 3rd Degree,1/21/25 16:01,1/21/25 15:45,1/21/25 15:59,100 Block of McCorvey Drive ,Closed,1/22/25,D-Victim Refused to Cooperate,22-Jan-25
R250121018,Theft of Property 3rd Degree,1/21/25 12:19,1/21/25 10:40,1/21/25 10:46,400 Block of McCorvey Drive ,Pending,1/22/25,Inactive,22-Jan-25
R250119002,Criminal Mischief 3rd Degree,1/19/25 1:42,1/19/25 1:20,1/19/25 1:25,100 Block of Hackberry Lane ,Pending,1/21/25,Inactive,20-Jan-25
R250118027,Theft of Lost Property 3rd Degree,1/18/25 17:28,1/16/25 19:40,1/16/25 19:42,600 Block of Abercrombie Lane ,Pending,1/28/25,Administratively Cleared,20-Jan-25
R250117020,Theft of Lost Property 3rd Degree,1/17/25 13:48,1/9/25 18:00,1/9/25 19:00,400 Block of Peter Bryce Blvd. ,Closed,1/22/25,Administratively Cleared,20-Jan-25
R250117004,Disorderly Conduct,1/17/25 0:59,1/17/25 0:59,1/17/25 1:31,100 Block of Hackberry Lane ,Closed,,Administratively Cleared,17-Jan-25
R250116040,Harassment,1/16/25 16:32,1/15/25 23:00,1/16/25 15:00,1100 Block of Jackson Ave. ,Closed,2/24/25,Cleared by Adult Arrest,17-Jan-25
R250116002,Public Intoxication,1/16/25 0:08,1/16/25 0:08,1/16/25 0:15,Red Drew Ave. @ University Blvd. ,Closed,,Cleared by Adult Arrest,16-Jan-25
R250115024,Unlawful Possession of Marijuana 2nd Degree & Drug Paraphernalia,1/15/25 12:41,1/15/25 12:39,1/15/25 12:39,700 Block of Campus Drive ,Closed,,Cleared by Adult Arrest,16-Jan-25
R250115004,Criminal Mischief 3rd Degree,1/14/25 0:50,1/14/25 0:30,1/15/24 0:50,800 Block of Campus Drive 24387,Pending,,,15-Jan-25
R250114048,Criminal Trespass 2nd Degree,1/14/25 23:06,1/14/25 23:05,1/14/25 23:50,200 Block of McCorvey Drive ,Closed,,Cleared by Adult Arrest,15-Jan-25
R250114024,Theft of Property 4th degree,1/14/25 16:37,1/13/25 6:30,1/13/25 7:30,400 Block of Peter Bryce Blvd. ,Pending,3/3/25,Inactive,15-Jan-25
R250114001,Public Intoxication,1/14/25 0:09,1/14/25 0:08,1/14/25 0:08,Paul W. Bryant Drive @ 7th Ave. ,Closed,,Cleared by Adult Arrest,14-Jan-25
R250111021,Theft of Property 3rd Degree,1/11/25 10:16,1/9/25 9:30,1/9/25 10:30,400 Block of Colonial Drive ,Closed,1/31/25,Cleared by Adult Arrest,13-Jan-25
R250109079,Harassment,1/9/25 23:59,1/9/25 23:30,1/9/25 23:50,800 Block of 2nd Street ,Closed,,D-Victim Refused to Cooperate,10-Jan-25
R250109023,Harassment,1/9/25 9:05,9/28/24 21:00,9/28/24 21:00,900 Block of Paul W. Bryant Drive ,Closed,,Administratively Cleared,10-Jan-25
R250108014,Harassment,1/8/25 8:36,1/8/25 2:30,1/8/25 3:00,900 Block of University Blvd. 25487,Closed,,D-Victim Refused to Cooperate,9-Jan-25
R250107056,Harassing Communications,1/7/25 23:38,1/7/25 23:15,1/7/25 23:50,100 Block of McCorvey Drive ,Closed,1/1/25,D-Vitim Refused to Cooperate,8-Jan-25
R250107034,Theft of Property 3rd Degree & Illegal Possession/Use of a Credit/Debit Card,1/7/25 18:25,1/7/25 4:00,1/7/25 18:25,600  Block of Paul W. Bryant Drive ,Pending,1/27/25,Inactive,8-Jan-25
R250107020,Theft of Property 3rd Degree,1/7/25 13:21,1/6/25 14:45,1/6/25 17:00,700 Block of Campus Drive ,Pending,1/8/25,Inactitve,8-Jan-25
R250106017,Criminal Trespass 2nd Degree,1/6/25,1/5/25 17:00,1/5/25 21:15,100 Block of Hackberry Lane ,Closed,2/3/25,Cleared by Adult Arrest,7-Jan-25
R250103014,Harassing Communications,1/3/25 14:09,1/3/25 13:35,1/3/25 13:36,200 Block of Kilgore Lane ,Pending,1/6/25,Unfounded,3-Jan-25
R250103010,Theft of Property 1st Degree,1/3/25 10:24,12/22/24 19:00,12/22/24 21:00,400 Block of Queen City Ave. ,Closed,1/6/25,Unfounded,3-Jan-25
