Report Number,Incident Type,Date/Time Reported,Date/Time Occurred,Date/Time Occured To,Location,Disposition,Disposition Change,Status,Date Entered
R250322012,Harassment,3/22/25 2:59,3/22/25 1:50,3/22/25 2:01,900 Block of Magnolia Drive ,Closed,3/31/25,D-Victim Refused to Cooperate,24-Mar-25
R250321057,Public Intoxication,3/21/25 23:08,3/21/25 23:08,3/21/25 0:02,15th Ave. @ University Blvd. ,Closed,,Cleared by Adult Arrest,24-Mar-25
R250321011,Harassment,3/21/25 8:12,3/17/25 9:30,3/17/25 10:03,300 Block of 7th Ave. ,Closed,4/9/25,D-Victim Refused to Cooperate,24-Mar-25
R250321001,Harassment,3/21/25 0:00,3/20/25 0:23,3/21/25 0:00,800 Block of 2nd Street ,Closed,4/21/25,Cleared by Adult Arrest,21-Mar-25
R250319023,Harassing Communications,3/19/25 15:01,3/1/25 0:00,3/19/25 15:01,1100 Block of Jackson Ave. ,Pending,,,20-Mar-25
R250319012,DV Harassment 3rd Degree,3/19/25 8:23,3/19/25 7:30,3/19/25 7:40,1400 Block of Warrior Drive ,Closed,3/27/25,Cleared by Adult Arrest,20-Mar-25
R250318056,Theft of Property 4th Degree,3/18/25 21:34,3/18/25 20:40,3/18/25 21:20,900 Block of 2nd Ave. ,Closed,,Administratively Cleared,19-Mar-25
R250318045,Distributing A Private Image Without Consent,3/18/25 18:39,10/1/24 0:00,10/31/24 0:00,800 Block of 2nd Street ,Pending,,,19-Mar-25
R250315012,DV Harassment,3/15/25 20:00,3/15/25 20:00,3/15/25 22:00,100 Block of 4th Street ,Closed,,Cleared by Adult Arrest,17-Mar-25
R250314005,Criminal Trespass 3rd Degree,3/14/25 8:51,3/14/25 8:51,3/14/25 9:05,100 Block of McCorvey Drive ,Closed,,Cleared by Adult Arrest,17-Mar-25
R250307060,Burglary 2nd Degree,3/7/25 19:50,3/6/25 22:23,3/7/25 19:50,600 Block of Bryce Lawn Apartments ,Closed,3/18/25,D-Victim Refused to Cooperate,10-Mar-25
R250307052,Unlawful Possession of Marijuana 2nd Degree,3/7/25 17:40,3/7/25 17:40,3/7/25 20:00,100 Block of Hackberry Lane ,Closed,,Cleared by non-Custodial Adult Arrest,10-Mar-25
R250307050,DV Assault 3rd Degree,3/7/25 16:53,10/23/24 0:00,1/11/25 0:00,100 Block of Hackberry Lane ,Closed,4/17/25,Cleared by Adult Arrest,10-Mar-25
R250306031,Criminal Mischief 2nd Degree,3/6/25 14:35,2/4/25 0:00,3/6/25 14:34,900 Block of 2nd Street ,Pending,,,7-Mar-25
R250306027,Theft of Property 4th Degree,3/6/25 13:04,3/6/25 0:30,3/6/25 12:30,1100 Block of 10th Ave. ,Closed,,D-Victim Refused to Cooperate,7-Mar-25
R250304037,Theft of Lost Property 3rd Degree,3/4/25 17:56,2/25/25 17:00,2/27/25 1600,800 Block of University Blvd. ,Pending,,Inactive,5-Mar-25
R250304013,Unlawful Possession of Drug Paraphernalia,3/4/25 4:32,3/4/25 4:32,3/4/25 5:01,900 Block of University Blvd. ,Closed,,Cleared by Adult non-Custodial Arrest,5-Mar-25
R250302010,Criminal Tampering 2nd Degree,3/2/25 3:50,3/2/25 3:45,3/2/25 3:50,600 Block of Abercrombie Ln. ,Closed,3/6/25,Cleared Adult Other Prosecution,3-Mar-25
R250301013,Burglary 3rd Degree,3/1/25 3:41,2/28/25 22:00,3/1/25 3:00,600 Block of Abercrombie Ln. ,Closed,3/18/25,Administratively Cleared,3-Mar-25
R250301007,Unlawful Possession of a Controlled Substance,3/1/25 1:51,3/1/25 1:51,3/1/25 1:51,"1200 Block of University Blvd. 
35487",Closed,,Administratively Cleared,3-Mar-25
R250227058,Assault 3rd Degree,2/27/25 1849 HRs,2/27/25 16:50,2/27/25 18:00,500 Block of Jefferson Ave. ,Closed,,D-Victim Refused to Cooperate,28-Feb-25
R250227050,Making a Terrorist Threat 2nd Degree,2/27/25 16:11,2/27/25 16:10,2/27/25 16:51,1100 Block of Jackson Ave. ,Closed,2/28/25,Cleared by Adult Arrest,28-Feb-25
R250226087,Unlawful Possession of Marijuana & Public Intoxication,2/26/25 22:55,2/26/25 22:55,2/27/25 0:30,700 Block of Wallace Ave. ,Closed,,Cleared by Adult Arrest,27-Feb-25
R250226078,Theft of Property 4th Degree,2/26/25 20:29,2/26/25 19:48,2/26/25 20:10,100 Block of McCorvey Drive ,Closed,3/4/25,D-Victim Refused to Cooperate,27-Feb-25
R250226041,Criminal Mischief 3rd Degree,2/26/25 14:23,2/23/25 21:00,2/26/25 12:00,900 Block of 2nd Street ,Pending,,,27-Feb-25
R250226010,Obstructing Governmental Operations,2/26/25 1:27,2/26/25 0:50,2/26/25 0:58,12200 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,26-Feb-25
R250225096,Public Intoxication,2/25/25 23:20,2/25/25 23:20,2/25/25 23:42,900 Block of 2nd Street ,Closed,,Cleared by Adult Arrest,26-Feb-25
R250225062,Theft of Property 4th Degree,2/25/25 19:43,2/25/25 19:20,2/25/25 19:43,200 Block of Paul W. Bryant Drive ,Pending,,Inactive,26-Feb-25
R250224021,Theft of Property 3rd Degree,2/24/25 9:24,2/21/25 10:00,2/21/25 10:31,800 Block of Peter Bryce Blvd. ,Pending,2/27/25,Inactive,25-Feb-25
R250224020,UB & E of a Motor Vehicle,2/24/25 9:23,2/21/25 15:00,2/22/25 4:00,4th Street @ Jefferson Ave. ,Closed,3/6/25,Cleared by Adult Arrest,25-Feb-25
R250223037,Criminal Mischief 3rd Degree,2/23/25 21:19,2/21/25 21:00,2/23/25 21:00,900 Block of 2nd Street ,Pending,2/24/25,Inactive,24-Feb-25
R250223035,Criminal Mischief 3rd Degree,2/23/25 20:36,2/16/25 19:00,2/23/25 18:00,900 Block of 2nd Street ,Pending,2/26/25,Inactive,24-Feb-25
R250223029,UB & E of a Motor Vehicle,2/23/25 17:12,2/21/25 0:00,2/23/25 17:11,900 Block of 2nd Street ,Pending,,,24-Feb-25
R250223028,UB & E of a Motor Vehicle,2/23/25 16:41,2/22/25 23:30,2/23/25 16:41,900 Block of 2nd Street ,Closed,,Administratively Cleared,24-Feb-25
R250223005,Disorderly Conduct,2/23/25 1:16,2/23/25 1:13,2/23/25 1:16,1200 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,24-Feb-25
R250222039,Harassment,2/22/25 18:21,2/22/25 18:00,2/22/25 18:18,1200  Block of Coliseum Drive ,Pending,,,24-Feb-25
R250222033,UB & E of a Motor Vehicle,2/22/25 16:29,2/19/25 19:30,2/22/25 16:15,900 Block of 2nd Street ,Pending,4/11/25,Inactive,24-Feb-25
R250222020,Criminal Mischief 3rd Degree,2/22/25 9:55,2/22/25 9:55,2/22/25 9:55,900 Block of 2nd Street ,Pending,2/24/25,Inactive,24-Feb-25
R250220051,Theft of Property 4th Degree,2/20/25 15:44,2/20/25 13:30,2/20/25 13:40,500 Block of Margaret Drive ,Pending,3/6/25,Inactive,21-Feb-25
R250220004,Public Intoxication,2/20/25 0:49,2/20/25 0:45,2/20/25 0:48,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,20-Feb-25
R250219067,Burglary 3rd Degree,2/19/25 21:59,2/19/25 22:08,2/19/25 22:48,600 Block of Paul W. Bryant Drive 8,Closed,3/3/25,Unfounded,20-Feb-25
R250219054,Unlawful Breaking & Entering of a Motor Vehicle,2/19/25 18:46,2/19/25 18:40,2/19/25 18:45,1100 Block of University Blvd. ,Closed,,Cleared by Adult Arrest,20-Feb-25
R250219031,Harassment,2/19/25 15:19,2/19/25 15:00,2/19/25 15:19,600 Block of Abercrombie Lane ,Closed,,D-Victim Refused to Cooperate,20-Feb-25
R250219025,Theft of Property 4th Degree,2/19/25 13:59,7/2/24 0:01,1/31/25 5:30,700 Block of Campus Drive ,Pending,4/17/25,Inactive,20-Feb-25
R250219017,Identity Theft,2/19/25 12:51,1/26/25 0:00,2/14/25 0:00,700 Block of Judy Bonner Drive ,Closed,3/5/25,Administratively Cleared,20-Feb-25
R250218047,Theft of Property 4th Degree,2/18/25 19:03,2/14/25 11:00,2/18/25 18:00,200 Block of Hackberry Lane ,Pending,3/6/25,Inactive,19-Feb-25
R250217039,Theft of Property 2nd Degree,2/17/25 17:13,2/14/25 16:00,2/17/25 17:12,600 Block of Abercrombie Lane ,Pending,,,18-Feb-25
R250217038,Harassing Communications,2/17/25 17:00,10/1/24 12:00,2/17/25 17:00,100 Block of Hackberry Lane ,Closed,3/3/25,D-Victim Refused to Cooperate,18-Feb-25
R250217035,Theft of Lost Property 3rd Degree,2/17/25 17:00,2/17/25 9:30,2/17/25 10:00,300 Block of Stadium Drive ,Closed,2/25/25,Unfounded,18-Feb-25
R250217031,Theft of Property 2nd Degree,2/17/25 15:09,2/12/25 17:00,2/14/25 17:00,1100 Block of 10th Ave. ,Pending,3/21/25,Inactive,18-Feb-25
R250217001,Unlawful Possession of Marijuana 2nd Degree,2/17/25 0:36,2/17/25 0:36,2/17/25 1:16,100 Block of McCorvey Drive ,Closed,,Cleared by non-Custodial Adult Arrest,17-Feb-25
R250216045,Unlawful Possession of Marijuana 2nd Degree,2/16/25 22:32,2/16/25 2:23,2/16/25 23:23,900 Block of 2nd Street ,Closed,,Cleared by non-Custodial Adult Arrest,17-Feb-25
R250216025,Theft of Property 2nd Degree,2/16/25 14:45,2/16/25 14:45,2/16/25 14:45,800 Block of 2nd Street ,Pending,,,17-Feb-25
R250216012,Criminal Tampering 2nd Degree,2/16/25 3:03,2/16/24 3:02,2/16/25 3:03,600 Block of Abercrombie Lane ,Pending,2/24/25,Inactive,17-Feb-25
R250216006,Disorderly Conduct,2/16/25 1:43,2/16/25 1:41,2/16/25 1:42,1200 Block of University Blvd.,Closed,,Cleared by Adult Arrest,17-Feb-25
R250215061,Theft of Property 4th Degree,2/15/25 20:25,2/15/25 16:00,2/15/25 18:00,800 Block of 2nd Street ,Closed,2/25/25,Unfounded,17-Feb-25
R250215031,Criminal Trespass 3rd Degree,2/15/25 9:43,2/15/25 9:43,2/15/25 9:43,1200 Block of Coleman Coliseum ,Closed,,Cleared by Adult Arrest,17-Feb-25
R250215001,Assault 3rd Degree,2/15/25 0:00,2/15/25 0:00,2/15/25 0:05,300 Block of University Blvd. ,Pending,3/7/25,Inactive,17-Feb-25
R250214026,Criminal Possession of a Forged Instrument 1st Degree,2/14/25 11:50,2/14/25 11:50,2/14/25 11:50,700 Block of Campus Drive ,Pending,,,17-Feb-25
R250214018,Theft of Property 4th Degree,2/14/25 9:21,2/13/25 22:30,2/14/25 2:00,1100 Block of 10th Ave. ,Closed,2/19/25,Cleared Adult Other Prosecution,17-Feb-25
R250212048,Theft of Property 4th Degree,2/12/25 18:12,2/12/25 16:15,2/12/25 17:25,400 Block of Peter Bryce Blvd. ,Pending,2/12/25,Inactive,13-Feb-25
R250211057,Criminal Mischief 3rd Degree,2/11/25 20:45,2/11/25 20:40,2/11/25 2059 HRs,800 Block of Paul W. Bryant Drive ,Closed,,Administratively Cleared,12-Feb-25
R250211030,Criminal Mischief 2nd Degree,2/11/25 13:05,2/11/25 13:05,2/11/25 13:10,300 Block of Hackberry Lane ,Closed,2/25/25,D-Victim Refused to Cooperate,12-Feb-25
R250210034,Theft of Property 4th Degree,2/10/25 18:37,2/9/25 23:00,2/10/25 17:00,900 Block of 2nd Street ,Pending,2/14/25,Inactive,11-Feb-25
