Case Number,Date/Time Occurred,Location,Incident Type,Disposition
25001726,1/10/25 15:09,WBLDG/700 Albany St,Trespass,Closed
25001592,1/9/25 21:06,LBLDG/72 East Concord St,Lost and Found Service,Report Taken
25001541,1/9/25 14:06,L1/72 East Concord St,Lost and Found Service,Report Taken
25001539,1/9/25 13:34,EBRCBLDG/650 Albany St ,Other,Closed
25001479,1/9/25 5:44,Stoughton St,Trespass,Closed
25001410,1/8/25 21:48,ROBIBLDG/65 East Newton St,Alarm Testing,Closed
25001367,1/8/25 16:18,G1/635 Albany St,Building Security Assesment,Closed
25001352,1/8/25 13:02,L5/72 East Concord St,Alarm/Duress Alarm,Closed
25001332,1/8/25 10:57,Evansbsmt/75 East Newton St,Unknown Person,Closed
25001208,1/7/25 21:55,DLOT/68 East Concord St,Trespass,Closed
25001199,1/7/25 20:43,Talbot Blg /715 Albany St,Trespass,Closed
25001197,1/7/25 20:26,East Concord & Harrison Ave,Assist Other Police Agency ,Closed
25001127,1/7/25 9:27,NEIDL/620 Albany St,Alarm Investigation,Closed
25001114,1/7/25 7:20,Talbot Blg /715 Albany St,Trespass,Closed
25001100,1/7/25 4:33,GBLDG/635 Albany St,Trespass,Closed
25001034,1/6/25 20:27,L1/72 East Concord St,Lost and Found Service,Report Taken
25001032,1/6/25 20:17,G1/635 Albany St,Lost and Found Service,Report Taken
25000980,1/6/25 12:35,MSR7/815 Albany St,Larceny,Closed
25000943,1/6/25 8:42,JBLDG/609 Albany St,Escort Persons,Closed
25000926,1/6/25 5:56,WBLDG/700 Albany St,Trespass,Closed
25000915,1/6/25 4:53,EBRCBLDG/650 Albany St ,Fire Alarm,Report Taken
